event_type,qc_level,intensity,city,region_country,datetime_utc,reporter,description,query_year,query_month,queried_event
Precip,QC0+,F-Scale: IF1,Genova,"Liguria, Italy",13/02/2001 09:23 UTC,Local Weather Service,Strong winds caused structural damage.,2001,02,Precip
Funnel,QC2,F-Scale: IF0,Madrid,Spain,25/11/2003 20:09 UTC,ESWD Management,Weak event reported with minor impacts.,2003,11,Funnel
Devil,QC0,EF1,Nagpur,"Maharashtra, India",01/09/2022 20:32 UTC,Local Weather Service,Strong winds caused structural damage.,2022,09,Devil
Precip,QC2,EF1,Madrid,Spain,26/10/2018 07:31 UTC,Meteorological Office,Weak event reported with minor impacts.,2018,10,Precip
Gustnado,QC0+,F-Scale: IF1,Zurich,Switzerland,06/04/2015 09:29 UTC,Meteorological Office,Weak event reported with minor impacts.,2015,04,Gustnado
Funnel,QC1,EF1,Zurich,Switzerland,03/05/2004 12:15 UTC,Meteorological Office,Weak event reported with minor impacts.,2004,05,Funnel
Wind,QC0,EF1,Madrid,Spain,07/08/2005 12:55 UTC,Meteorological Office,Strong winds caused structural damage.,2005,08,Wind
Tornado,QC0,F-Scale: IF0,Vienna,Austria,24/11/2025 06:33 UTC,University Research Group,Event observed via satellite imagery.,2025,11,Tornado
Ice,QC2,F-Scale: IF2,Genova,"Liguria, Italy",11/06/2010 03:26 UTC,Storm Chaser Network,Strong winds caused structural damage.,2010,06,Ice
Snow,QC0+,EF2,Tel Aviv,"Tel Aviv District, Israel",09/08/2016 12:07 UTC,Meteorological Office,Strong winds caused structural damage.,2016,08,Snow
Precip,QC0+,F-Scale: IF1,Genova,"Liguria, Italy",04/09/2007 18:13 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2007,09,Precip
Ice,QC1,N/A,Madrid,Spain,07/11/2009 23:22 UTC,ESWD Management,Event observed via satellite imagery.,2009,11,Ice
Avalanche,QC0,F-Scale: IF1,Vienna,Austria,29/12/2017 09:08 UTC,Public Report,Strong winds caused structural damage.,2017,12,Avalanche
